query,label
How does map-reduce work?,general
How does Dijkstra's algorithm work?,general
How does OAuth differ from JWT?,general
What is the difference between a process and a daemon?,general
How does a VPN work?,general
Which chunks cover serverless monitoring and logging?,retrieval
Which documents describe multi-user project workflows?,retrieval
Where are front-end and back-end interaction flows described?,retrieval
What is a primary key in a database?,general
Explain real-time collaboration flows for project boards,retrieval
Which database did I use in my full stack project?,retrieval
What is the difference between vertical slicing and horizontal slicing in architecture?,general
What benefits did real-time syncing provide in my project?,retrieval
Which chunks cover serverless project testing and validation?,retrieval
What is a hash map?,general
Which sections describe API endpoint implementation in TaskBin?,retrieval
Which of my documents mention AWS Amplify?,retrieval
What is the difference between data sharding and data partitioning?,general
Explain what eventual consistency means,general
What version of API Gateway did I use in the serverless app?,retrieval
Find the chunk discussing Amplify usage in my resume,retrieval
What documents describe multi-user task updates?,retrieval
Summarize TaskBin real-time project management workflows,retrieval
Explain what the saga pattern is in microservices,general
Which sections explain multi-user project board architecture?,retrieval
How does token-based authentication differ from session-based?,general
What is a lambda function in Python?,general
Summarize API Gateway and Lambda integration flows,retrieval
Where are serverless deployment pipelines explained?,retrieval
Explain what the event-driven architecture pattern is,general
List all documents covering project board event handling?,retrieval
Which chunks cover deployment pipelines for TaskBin?,retrieval
Which files mention TaskBin's task management capabilities?,retrieval
What is the difference between PUT and PATCH in REST?,general
Explain how WebSockets were used in my board app,retrieval
Summarize TaskBin project orchestration and workflow,retrieval
Where do I explain serverless resource management?,retrieval
Explain WebSocket implementation for project updates,retrieval
Explain what reactive programming is,general
Where do I describe project lifecycle management?,retrieval
Explain what idempotency means in APIs,general
Which sections describe task lifecycle management in my projects?,retrieval
What is a monad in functional programming?,general
Explain what eventual consistency means in practice,general
Which chunks cover front-end and back-end data flow?,retrieval
What programming languages were used in my project documentation?,retrieval
What is the difference between soft delete and hard delete?,general
Summarize all real-time collaboration features in my resume documents,retrieval
List chunks mentioning serverless architecture best practices,retrieval
Summarize Lambda function flows in TaskBin,retrieval
What is a B-tree?,general
Which sections explain AWS service interactions in projects?,retrieval
Where did I mention Cognito in my career record?,retrieval
Explain what a binary heap is,general
What is eventual consistency in distributed systems?,general
Which sections detail API routing in TaskBin?,retrieval
Find sections in my resume that mention team collaboration,retrieval
